food,ingredient,sentiment,major
Greek Yogurt (0.5 Cups),Milk,0.6472777840844576,yes
Greek Yogurt (0.5 Cups),Cream,0.5576179374305102,yes
Greek Yogurt (0.5 Cups),Pectin,0.762021442848533,yes
