class,nutrient,unit,amount,DV,%DV
Proximate,Energy,kcal,100,2000,0.05
Proximate,Fat,g,11,65,0.169230769230769
Mineral,Sodium,mg,105,2400,0.04375
Vitamin,Vitamin A,IU,500,5000,0.1
Lipid,Fatty acids - total saturated,g,2.001,20,0.10005
Lipid,Fatty acids - total trans,g,1.499,2,0.7495
