class,nutrient,unit,amount,DV,%DV
Proximate,Energy,kcal,80,2000,0.04
Proximate,Carbs,g,22.01,300,0.0733666666666667
Proximate,Fiber,g,4.9,25,0.196
Proximate,Sugars,g,16,100,0.16
Mineral,Iron,mg,0.35,18,0.0194444444444444
Vitamin,Vitamin C,mg,4.8,60,0.08
Vitamin,Vitamin A,IU,100,5000,0.02
